"filename", "language", "Dart", "JSON", "comment", "blank", "total"
"/Users/gabriel/Documents/dev/application/lib/components/modals/tickets_modal.dart", "Dart", 111, 0, 0, 2, 113
"/Users/gabriel/Documents/dev/application/lib/components/modals/wallet_modal.dart", "Dart", 85, 0, 0, 5, 90
"/Users/gabriel/Documents/dev/application/lib/components/nav_icon.dart", "Dart", 29, 0, 0, 3, 32
"/Users/gabriel/Documents/dev/application/lib/components/nearby_stations.dart", "Dart", 34, 0, 0, 3, 37
"/Users/gabriel/Documents/dev/application/lib/components/onboarding/socialbuttons.dart", "Dart", 58, 0, 1, 4, 63
"/Users/gabriel/Documents/dev/application/lib/components/onboarding/textfield.dart", "Dart", 30, 0, 1, 4, 35
"/Users/gabriel/Documents/dev/application/lib/components/onboarding/textfieldotp.dart", "Dart", 35, 0, 1, 4, 40
"/Users/gabriel/Documents/dev/application/lib/components/passes/active_pass.dart", "Dart", 32, 0, 0, 4, 36
"/Users/gabriel/Documents/dev/application/lib/components/passes/disabled_pass.dart", "Dart", 33, 0, 0, 4, 37
"/Users/gabriel/Documents/dev/application/lib/components/past_transaction_card.dart", "Dart", 50, 0, 0, 3, 53
"/Users/gabriel/Documents/dev/application/lib/components/payment_methods.dart", "Dart", 44, 0, 0, 5, 49
"/Users/gabriel/Documents/dev/application/lib/components/placeholder_field.dart", "Dart", 35, 0, 0, 3, 38
"/Users/gabriel/Documents/dev/application/lib/components/profile_button.dart", "Dart", 39, 0, 0, 3, 42
"/Users/gabriel/Documents/dev/application/lib/components/route_preview_card.dart", "Dart", 92, 0, 1, 5, 98
"/Users/gabriel/Documents/dev/application/lib/components/search/label_card.dart", "Dart", 141, 0, 1, 8, 150
"/Users/gabriel/Documents/dev/application/lib/components/search/label_card_manage.dart", "Dart", 161, 0, 1, 8, 170
"/Users/gabriel/Documents/dev/application/lib/components/search/labels_list.dart", "Dart", 48, 0, 0, 3, 51
"/Users/gabriel/Documents/dev/application/lib/components/search/place_card.dart", "Dart", 58, 0, 0, 3, 61
"/Users/gabriel/Documents/dev/application/lib/components/search/place_list.dart", "Dart", 59, 0, 0, 6, 65
"/Users/gabriel/Documents/dev/application/lib/components/sheets/add_payment_method_sheet.dart", "Dart", 32, 0, 0, 2, 34
"/Users/gabriel/Documents/dev/application/lib/components/shorthand.dart", "Dart", 51, 0, 0, 3, 54
"/Users/gabriel/Documents/dev/application/lib/components/static_searchbar.dart", "Dart", 46, 0, 1, 4, 51
"/Users/gabriel/Documents/dev/application/lib/components/station_card.dart", "Dart", 72, 0, 0, 3, 75
"/Users/gabriel/Documents/dev/application/lib/components/step_card_types/change_platform_card.dart", "Dart", 71, 0, 33, 3, 107
"/Users/gabriel/Documents/dev/application/lib/components/step_card_types/destination_card.dart", "Dart", 77, 0, 0, 3, 80
